D1-Memory D1-Naive D2-Memory D3-Memory D3-Naive D4-Memory D4-Naive
POMGNT2 53 69 76 57 102 65 97
SNRK 251 386 269 259 556 251 387
ANO10 161 102 164 163 148 172 165
ABHD5 833 312 913 558 429 1015 683
TCAIM 466 559 455 484 698 602 888
ZNF445 191 202 250 197 217 234 318
ZNF852 48 31 71 57 29 63 48
ZKSCAN7 14 5 12 16 4 15 7
ZNF197 236 311 268 304 353 296 398
ZNF502 11 8 24 12 19 25 22
ZNF501 30 13 42 21 26 50 30
KIAA1143 1708 2256 1861 1496 2573 2149 2992
KIF15 710 889 893 600 705 685 968
TMEM42 411 457 524 439 479 582 609
ZDHHC3 843 582 1114 711 722 1247 897
EXOSC7 1646 1757 2069 1517 1907 2216 2435
LARS2 110 67 167 71 59 190 105
LIMD1 165 148 153 229 262 316 373
LIMD1-AS1 20 7 18 13 10 31 22
SACM1L 535 475 574 487 544 604 637
LZTFL1 121 86 94 96 115 114 98
FYCO1 82 110 92 87 157 90 174
CXCR6 232 23 259 372 17 101 30
CCR5 79 34 45 37 22 26 17
LRRC2 7 6 33 12 18 9 20
CCDC12 2426 2291 2759 2252 2677 3100 2894
NBEAL2 193 96 257 201 109 263 193
SETD2 905 1085 1054 951 1446 1197 1398
KIF9-AS1 33 33 54 28 36 53 34
KIF9 123 80 216 103 98 211 147
KLHL18 259 175 334 235 160 455 318
RP11-708J19.1 124 138 137 111 147 180 205
PTPN23 131 81 168 110 115 173 128
SCAP 247 217 379 228 328 287 290
ELP6 858 719 1127 769 716 1158 875
SMARCC1 1769 1406 2156 1539 1536 2485 2480
DHX30 678 635 999 628 924 811 946
MAP4 3312 2091 4004 3008 2237 4874 3323
ZNF589 128 126 169 132 135 125 147
NME6 802 542 970 629 593 1095 867
CCDC51 736 575 941 653 545 1259 949
TMA7 12996 19764 20705 11854 24282 19371 24796
ATRIP.1 24 21 18 15 15 20 19
SHISA5 1096 817 1384 952 1086 1626 1354
PFKFB4 429 1008 129 357 1242 496 1599
UQCRC1 3882 2739 4897 3466 2994 5491 4138
SLC26A6 311 134 362 270 126 344 187
NCKIPSD 325 685 251 324 913 462 1151
IP6K2 996 885 1134 958 1032 1288 1251
PRKAR2A 560 471 672 428 607 643 736
PRKAR2A-AS1 6 1 11 10 20 12 13
SLC25A20 264 114 437 241 84 299 145
ARIH2OS 238 279 213 215 360 286 373
ARIH2 1935 1400 2285 1577 1189 2532 1798
RP13-131K19.1 5 10 11 4 8 6 7
RP13-131K19.2 14 11 10 17 22 13 16
RP13-131K19.7 7 13 9 15 18 11 9
P4HTM 854 577 902 766 655 960 799
WDR6 542 411 649 461 430 666 564
DALRD3 739 664 836 630 972 999 816
NDUFAF3 3413 2613 4677 3075 2449 4322 3774
IMPDH2 3744 7500 4564 3368 11287 5062 7424
QRICH1 462 429 516 431 397 629 587
QARS 1351 2227 1705 1326 3075 1741 2217
USP19 169 191 210 160 230 234 253
CCDC71 317 152 486 306 206 468 255
KLHDC8B 39 31 79 44 79 52 77
C3orf62 176 117 188 148 101 189 124
USP4 778 548 839 721 596 942 771
GPX1 2417 3624 3425 2461 4066 4381 4987
RHOA 10486 11726 12877 9482 15132 14105 14696
TCTA 235 207 266 240 247 279 252
AMT 25 27 17 19 36 28 25
NICN1 120 110 168 119 142 153 118
DAG1 69 43 83 61 52 100 54
APEH 945 561 1202 739 522 1121 709
MST1 29 71 34 30 111 40 132
RNF123 61 39 114 74 57 101 59
GMPPB 1048 670 1362 944 732 1294 1133
IP6K1 345 421 407 320 487 482 580
FAM212A 45 35 51 28 57 97 18
UBA7 823 522 1178 895 398 1444 989
TRAIP 254 202 315 178 205 307 270
MON1A 152 127 185 149 133 156 159
RBM6 1387 1389 1476 1199 1616 1489 1972
RBM5 869 1115 924 857 1518 1037 1473
GNAI2 4324 3468 5590 3876 3361 7124 5457
U73166.2 19 16 17 12 22 24 29
IFRD2 1113 530 1734 906 508 1726 1012
HYAL3 217 109 262 171 93 389 142
NAT6 364 340 403 384 414 580 519
HYAL2 143 38 257 156 79 198 73
TUSC2 978 535 1345 787 624 1317 873
RASSF1 1326 1644 1176 1090 1862 1581 1857
RASSF1-AS1 37 65 52 35 54 65 73
ZMYND10 3 10 6 8 13 9 14
NPRL2 882 1022 955 771 1402 974 1662
CYB561D2 541 359 963 581 555 895 758
TMEM115 425 300 468 348 411 497 446
CACNA2D2 4 14 2 5 26 4 16
CYB561D2.1 70 91 63 91 122 68 123
C3orf18 156 288 111 146 327 198 455
HEMK1 1468 1786 1448 1378 1816 1877 2259
CISH 5354 5239 5247 5038 5039 5682 6646
MAPKAPK3 1694 1846 2251 1801 2175 2566 2326
RP11-804H8.6 28 40 20 31 69 24 62
MANF 6627 4418 6466 6226 3446 7477 5851
RBM15B 427 319 622 399 324 643 363
VPRBP 264 226 360 242 283 340 415
RAD54L2 333 286 437 240 295 455 364
TEX264 2008 1802 2334 1849 2434 2686 2467
RRP9 663 325 1040 582 340 1108 599
PARP3 293 229 329 279 222 461 345
PCBP4 346 167 420 281 181 494 296
ABHD14B 1383 2082 1450 1197 2550 1663 2367
ABHD14A 636 400 680 443 421 625 636
ACY1 27 20 28 15 24 41 35
RPL29 69512 119243 78270 68082 174761 87245 159709
DUSP7 63 60 86 64 74 82 91
POC1A 574 431 843 495 342 847 653
ALAS1 1132 988 1273 962 1015 1474 1392
TWF2 3714 2670 4716 3202 3110 5290 4014
RP5-1157M23.2 24 22 19 26 22 30 30
PPM1M 1035 780 1096 1047 1195 1332 1427
WDR82 1232 1327 1488 1166 1779 1633 2178
GLYCTK 127 143 171 94 137 196 148
DNAH1 22 19 26 27 27 23 38
BAP1 301 288 451 294 346 502 409
PHF7 295 190 313 275 218 330 266
TNNC1 40 45 46 42 70 53 108
NISCH 242 228 285 227 276 316 409
NT5DC2 173 67 89 101 59 80 62
SMIM4 594 685 891 515 648 886 885
PBRM1 1746 1050 1728 1379 1112 1963 1640
GNL3 4327 3435 4514 3700 3585 5843 5819
GLT8D1 965 901 934 803 889 1035 1149
SPCS1 6739 5065 8254 5636 5721 8456 7190
NEK4 227 109 266 198 112 267 194
ITIH4 58 23 59 34 20 72 37
TMEM110 318 376 608 255 311 516 470
SFMBT1 403 261 451 361 430 498 377
RFT1 573 259 670 494 320 838 505
PRKCD 476 372 479 439 530 773 505
TKT 5308 8034 6536 5463 10534 6327 8992
DCP1A 792 696 918 865 949 1090 1046
CHDH 187 31 372 205 15 335 28
IL17RB 481 26 947 526 5 634 3
RP11-884K10.7 10 10 21 16 7 19 8
ACTR8 433 370 527 396 555 511 505
SELK 5688 4168 6781 5033 5232 7954 6007
CCDC66 837 512 1088 722 523 809 637
FAM208A 864 577 843 755 579 1080 949
ARHGEF3 374 744 376 416 998 362 654
HESX1 17 14 17 21 34 30 56
APPL1 1492 1579 1665 1293 1935 1808 2256
PDE12 405 497 423 354 593 514 653
ARF4 3256 2397 3546 3002 2564 4154 3492
ARF4-AS1 53 117 57 54 140 78 137
DENND6A 174 157 213 150 174 199 183
SLMAP 685 515 841 688 580 849 741
FLNB 85 128 91 87 176 78 171
ABHD6 69 52 93 66 66 54 34
RPP14 149 147 195 186 188 206 211
PXK 843 632 956 899 776 1186 1016
PDHB 1463 1576 2057 1491 1866 2190 2121
RP11-802O23.3 15 4 11 10 8 7 10
KCTD6 251 279 252 218 352 331 379
FHIT 645 1384 1323 823 2389 696 1323
C3orf14 1080 572 1344 1191 762 2776 1542
THOC7 4760 4820 5631 3863 4947 5894 6338
ATXN7 476 634 597 475 1066 567 887
PSMD6-AS2 36 32 23 22 28 54 38
PSMD6 2675 2154 3475 2310 2379 3635 2789
RP11-245J9.4 14 21 21 14 11 23 17
SLC25A26 1020 2106 1398 1108 3689 1595 3574
LRIG1 263 263 313 248 261 404 285
KBTBD8 53 29 81 59 34 73 41
SUCLG2 1303 1694 1841 1446 2110 1622 2419
SUCLG2-AS1 15 22 22 26 19 22 20
EOGT 101 35 158 91 32 116 60
TMF1 2154 2367 2066 1890 2653 2310 3223
UBA3 1339 903 1420 1111 939 1498 1204
ARL6IP5 6904 5786 7213 5621 6538 6268 7055
LMOD3 118 154 104 103 230 99 214
FRMD4B 1247 1130 569 887 1294 938 1738
FOXP1 2662 5052 2850 3019 7052 3492 6035
RP11-154H23.3 11 34 19 11 38 34 41
EIF4E3 295 239 537 430 358 558 449
PROK2 14 1 20 9 2 11 5
RYBP 1424 2152 1363 1332 3224 2050 3638
SHQ1 272 187 299 235 239 339 237
PPP4R2 2240 2826 2846 2114 3340 3486 4135
EBLN2 120 156 146 128 231 163 249
RP11-803B1.8 7 4 5 15 13 16 17
ZNF717 115 96 126 111 129 141 126
GBE1 843 1494 494 601 1674 719 1468
CHMP2B 1473 1367 1846 1385 1779 2172 2027
CGGBP1 1956 2215 2457 1869 2766 2944 3202
RP11-159G9.5 107 136 99 110 218 138 237
ZNF654 422 505 355 435 629 487 865
C3orf38 1019 1265 1086 1024 1848 1510 1728
ARL13B 549 368 711 464 293 902 526
DHFRL1 261 202 328 277 228 402 342
NSUN3 401 490 412 401 749 611 788
MTRNR2L12 543 620 921 551 775 1800 1616
ARL6 111 227 135 99 262 154 340
CRYBG3 237 341 208 228 458 342 825
MINA 624 653 804 670 721 810 696
CLDND1 3519 3480 4550 3463 5018 3533 3332
CPOX 661 900 1037 681 1189 861 770
DCBLD2 31 36 44 23 36 20 36
CMSS1 1826 1343 3219 1812 1419 4047 2983
FILIP1L 97 39 90 90 23 104 19
TBC1D23 348 372 372 379 507 477 563
NIT2 1989 1540 2312 1823 1831 3153 2421
TOMM70A 689 721 787 635 898 914 1034
LNP1 18 9 24 21 22 34 14
TFG 2584 2623 2684 2458 2729 4125 4022
SENP7 445 660 399 409 938 413 759
TRMT10C 2269 1320 2842 1942 1638 3189 2159
PCNP 4710 5573 5702 4882 7719 6623 8184
ZBTB11 418 537 463 387 733 562 694
ZBTB11-AS1 63 35 93 65 44 124 61
RPL24 43408 69086 50132 41819 103285 52259 90738
CEP97 208 309 237 157 373 224 308
NXPE3 337 262 417 341 296 437 294
NFKBIZ 640 464 539 560 577 1029 909
ALCAM 294 418 288 327 395 469 676
CBLB 332 466 284 465 557 526 700
DUBR 32 10 43 35 23 59 29
BBX 2769 2075 3131 2504 2413 4082 3412
CD47 4942 2322 5388 4219 2462 5558 2738
LINC01215 274 331 214 285 366 288 378
IFT57 865 774 1032 674 749 982 687
KIAA1524 707 619 821 587 499 941 715
DZIP3 298 703 363 394 971 480 832
TRAT1 1454 3347 1744 998 4432 690 2729
PVRL3 236 117 181 170 118 254 188
CD96 1964 4574 1572 2000 5559 1101 3071
ABHD10 548 784 455 583 1197 588 913
TMPRSS7 14 10 15 18 8 31 6
C3orf52 152 43 209 147 60 271 64
GCSAM 421 600 327 541 1118 721 952
CD200 1001 1456 840 1417 2279 1771 2902
BTLA 320 617 338 388 1014 417 1366
ATG3 2277 1668 2993 2108 1921 3344 2620
SLC35A5 317 255 377 326 298 496 454
CD200R1 57 41 73 54 49 25 29
RP11-484K9.4 10 14 4 11 33 10 33
GTPBP8 655 717 873 654 993 884 1289
C3orf17 799 1417 870 846 2219 1062 1855
CFAP44 65 35 47 42 25 47 62
SPICE1 234 361 228 212 359 250 554
SIDT1 128 72 179 125 72 238 163
SIDT1-AS1 82 42 182 77 51 194 120
USF3 262 230 341 271 285 287 321
NAA50 1526 880 2010 1281 1122 2126 1426
ATP6V1A 291 254 392 255 461 360 354
GRAMD1C 20 2 46 25 7 34 5
ZDHHC23 38 20 52 55 26 69 39
CCDC191 108 95 114 108 102 144 137
QTRTD1 576 328 683 528 402 805 621
RP11-553L6.2 357 251 381 374 416 557 411
ZNF80 34 25 20 27 25 28 48
TIGIT 2707 449 6430 4651 571 8466 741
RP11-553L6.5 34 46 33 31 44 24 36
ZBTB20 234 230 236 226 249 257 286
B4GALT4 720 566 678 561 692 899 716
TMEM39A 449 363 398 371 386 567 472
POGLUT1 439 272 493 364 222 593 381
TIMMDC1 1483 872 1767 1174 784 2100 1224
ADPRH 138 49 97 139 62 167 99
POPDC2 31 12 31 26 4 67 10
COX17 5251 4742 7663 4545 5776 8174 7549
GSK3B 408 469 494 398 593 532 622
RP11-18H7.1 25 19 16 29 21 45 31
LRRC58 668 845 900 684 1117 900 1208
NDUFB4 8809 10708 10680 8128 12969 12146 16608
RABL3 342 443 426 282 452 468 605
GTF2E1 256 265 286 216 284 391 339
POLQ 427 303 546 354 296 526 516
HCLS1 4407 2816 5179 3947 2759 6068 4289
GOLGB1 2527 2589 2793 2738 2686 3344 4108
IQCB1 1013 939 1052 711 768 1222 1477
EAF2 1328 910 1329 1021 665 1548 1468
SLC15A2 19 24 25 26 18 41 37
CCDC58 1809 2375 709 1204 1982 1891 2606
FAM162A 9283 18418 7026 9115 23936 12128 27756
WDR5B 70 65 59 43 51 72 69
RP11-299J3.8 37 81 24 43 157 48 103
KPNA1 467 597 614 410 918 628 725
PARP9 4227 1910 4381 3912 1472 5975 3388
DTX3L 1357 566 1435 1281 514 2139 1170
PARP15 301 507 345 338 634 481 580
PARP14 3752 2289 4491 3938 1867 6779 4321
HSPBAP1 126 99 199 155 91 181 95
DIRC2 51 26 86 72 43 100 51
RP11-67L2.2 13 6 8 17 11 6 6
PDIA5 179 93 214 164 79 302 216
SEC22A 428 352 423 359 326 549 550
HACD2 327 255 382 344 317 395 407
MYLK-AS1 16 27 38 17 46 34 37
CCDC14 892 860 941 856 860 1047 1204
UMPS 912 473 1254 725 473 1388 872
HEG1 70 83 49 61 72 81 86
ZNF148 1120 1805 1174 1000 2278 1371 2388
SNX4 803 536 979 696 592 1017 851
OSBPL11 171 183 208 142 266 241 229
SLC41A3 331 377 353 296 504 422 451
ZXDC 127 107 108 116 129 170 172
TXNRD3 12 15 22 15 11 38 28
CHCHD6 282 338 364 221 386 367 511
PLXNA1 41 21 46 29 18 55 33
TPRA1 434 415 687 508 492 771 636
MCM2 1280 996 1473 1005 806 1710 1579
PODXL2 25 17 17 13 18 17 16
ABTB1 400 287 500 357 360 446 278
MGLL 7 2 9 5 14 6 5
SEC61A1 961 621 1098 826 609 1342 955
RUVBL1 2151 997 3096 1786 748 3281 1629
EEFSEC 386 271 367 298 279 495 444
RPN1 1540 942 1941 1444 974 1981 1317
RAB7A 4442 4720 6025 4269 5313 7756 6931
ACAD9 368 214 511 330 189 539 318
RP11-434H6.6 11 17 19 6 12 13 17
ISY1 1190 1314 1472 1150 1622 1654 1648
RP11-434H6.7 20 17 28 19 20 22 30
CNBP 8616 9223 9502 7677 12156 11247 13006
COPG1 876 715 857 842 806 984 987
HMCES 1018 859 1290 911 986 1492 1017
H1FX 4751 3771 4576 3879 3248 6313 5852
H1FX-AS1 13 7 7 15 15 12 18
MBD4 2066 1554 2559 1836 1628 2805 2303
IFT122 137 160 147 155 156 166 239
TMCC1 125 94 160 112 103 159 151
TMCC1-AS1 73 78 97 79 75 110 122
ALG1L2 8 15 14 14 29 23 36
RP11-77P16.4 5 0 6 20 12 15 9
PIK3R4 132 97 154 113 81 158 131
ATP2C1 879 948 1238 785 1287 1405 985
ASTE1 187 210 219 193 238 216 284
NEK11 90 28 81 77 35 129 64
NUDT16 278 263 416 273 305 352 339
MRPL3 2657 2177 3687 2411 2542 3992 3551
DNAJC13 302 224 420 252 259 513 355
ACAD11 34 62 29 33 91 46 91
UBA5 1223 1487 1233 1080 1727 1648 1890
NPHP3 206 359 164 219 447 310 547
CDV3 3981 4457 5259 3548 5315 5469 6166
TOPBP1 1268 1020 1363 1119 1175 1529 1757
SRPRB 1612 879 1899 1352 835 2130 1437
RYK 111 174 101 110 280 117 211
ANAPC13 871 683 1234 834 908 1546 1190
CEP63 805 825 1013 788 1010 1225 1169
PPP2R3A 13 5 13 8 23 26 12
MSL2 349 346 398 315 570 381 460
PCCB 611 554 807 614 547 878 786
STAG1 857 659 929 676 691 956 945
SLC35G2 164 101 149 141 101 193 95
RP11-731C17.2 17 18 31 27 19 38 33
NCK1-AS1 137 91 194 149 99 257 159
NCK1 883 939 930 830 1144 1183 1232
DBR1 369 286 439 347 371 589 490
ARMC8 508 492 607 481 699 746 761
CEP70 169 246 273 206 384 309 414
FAIM 349 142 446 318 193 592 215
PIK3CB 305 198 397 284 311 444 410
MRPS22 1138 1143 1352 904 1441 1646 1772
COPB2 1953 1693 2336 1773 1710 2616 2290
RP11-319G6.1 21 35 20 20 27 33 44
NMNAT3 22 41 17 27 122 19 64
SLC25A36 1266 2164 1103 1290 2639 1579 2970
PXYLP1 77 94 70 79 132 83 122
ZBTB38 1326 636 1186 1147 676 1212 667
RASA2 720 539 706 607 785 793 588
RNF7 3829 5188 4335 3601 6855 4741 7007
ATP1B3 3792 2138 5061 3249 1868 4809 3082
TFDP2 668 667 721 584 818 708 1054
GK5 153 105 206 151 136 190 144
XRN1 2843 3030 3076 2572 3674 4184 4386
ATR 435 183 511 336 159 656 342
PLS1 32 32 40 22 33 39 49
TRPC1 56 62 33 53 71 73 93
U2SURP 5139 3283 5348 4699 3751 6623 5598
RP11-91G21.1 43 40 48 28 77 83 89
CHST2 144 218 164 103 347 139 311
SLC9A9 218 90 227 151 149 142 141
C3orf58 196 345 213 188 477 282 526
PLSCR2 6 8 5 7 10 6 9
PLSCR1 4681 2246 5166 4647 1741 7979 5733
GYG1 1132 471 1166 742 378 904 471
HLTF 652 440 630 529 431 507 650
HPS3 439 302 406 346 295 412 340
COMMD2 989 1205 1111 975 1637 1249 1711
RNF13 1085 1041 1310 1136 1179 1719 1475
PFN2 61 50 19 22 40 20 32
TSC22D2 180 177 185 206 269 255 262
SERP1 9896 10940 10901 10546 14605 12579 15490
EIF2A 3294 5281 3199 3116 7811 3921 6632
SELT 3485 2727 4224 2969 2996 4662 3664
ERICH6-AS1 54 44 73 64 54 72 83
SIAH2 1835 3008 2064 1632 3923 3076 3773
GPR171 3761 3604 4822 3200 3335 6315 4830
RP11-246A10.1 16 36 28 9 52 11 53
MBNL1 2996 3438 3801 2594 4504 3302 5110
MBNL1-AS1 59 87 104 67 85 123 128
RAP2B 664 570 616 553 605 767 857
ARHGEF26 52 30 49 41 28 54 49
DHX36 2467 1795 3112 2310 2360 3580 3062
C3orf33 92 108 96 78 191 93 152
SLC33A1 590 427 614 563 409 674 452
GMPS 2564 2761 3032 2192 3265 3376 3680
RP11-305K5.1 10 2 23 13 6 4 2
SSR3 7607 7844 8421 7684 9154 9318 9937
TIPARP-AS1 127 195 86 113 223 176 239
TIPARP 551 690 733 598 910 727 917
LINC00886 53 34 116 89 76 76 63
LEKR1 21 14 17 14 26 20 17
CCNL1 3550 3624 4051 3191 4931 4459 4470
RSRC1 1694 1260 2051 1251 1154 2159 2102
RP11-538P18.2 217 142 216 188 113 275 200
MLF1 136 48 149 161 67 306 84
GFM1 694 358 996 522 400 918 529
LXN 526 388 594 547 510 701 620
MFSD1 454 172 521 365 169 486 257
IFT80 120 86 118 103 85 118 136
SMC4 5766 5230 7271 4991 5341 7384 7190
TRIM59 511 504 649 482 606 614 670
KPNA4 950 894 1116 924 1085 1400 1083
RP11-16N11.2 25 18 19 18 17 39 33
PPM1L 23 8 24 22 10 24 19
B3GALNT1 5 8 13 6 26 9 19
NMD3 966 1156 1013 903 1694 1282 1635
PDCD10 3898 4127 4629 3555 4902 6224 6249
SERPINI1 141 63 131 135 71 249 114
TERC 14 7 9 9 5 19 12
MYNN 400 541 442 430 838 501 798
LRRC34 90 184 76 119 214 125 261
SEC62 3366 3749 4123 3333 4678 4369 5232
GPR160 228 565 175 170 744 326 684
PHC3 494 585 503 468 813 568 952
RP11-379K17.12 24 26 19 26 29 25 45
PRKCI 488 419 492 466 590 616 622
SKIL 1558 1506 1491 1384 1580 1767 1871
RPL22L1 11218 8808 13414 10333 9438 16827 17194
EIF5A2 246 110 370 200 127 329 153
TNIK 554 812 981 724 1342 692 1077
FNDC3B 173 107 161 133 139 214 197
TNFSF10 5087 2207 6934 3960 2780 14075 6458
NCEH1 206 66 272 168 94 259 211
ECT2 501 455 660 400 392 692 538
TBL1XR1 1169 1984 1531 1222 2548 1539 2630
ZMAT3 326 440 304 323 675 240 462
PIK3CA 298 329 289 260 427 358 401
KCNMB3 31 11 20 23 5 25 4
ZNF639 479 551 519 470 723 635 738
MFN1 551 289 720 335 241 624 350
GNB4 96 43 96 92 31 163 89
ACTL6A 1777 1029 2319 1369 1058 2474 1488
MRPL47 2624 2175 3710 2487 2361 4125 3314
NDUFB5 4256 4929 5041 4200 6180 5423 6541
USP13 138 50 160 76 44 129 66
TTC14 1230 1326 1314 1232 1618 1363 2031
FXR1 2539 3346 2852 2322 4639 3435 4120
DNAJC19 2510 2076 3177 2239 2508 3434 3162
ATP11B 554 622 626 489 737 653 919
DCUN1D1 761 678 1001 741 846 1154 1028
MCCC1 415 415 431 364 401 527 525
MCF2L2 115 71 186 113 51 183 102
KLHL6 676 654 784 671 690 1243 1214
KLHL24 203 488 177 234 755 210 596
YEATS2 373 523 393 374 735 546 944
MAP6D1 7 4 15 8 7 12 7
PARL 1562 1508 2117 1345 1708 2428 2388
ABCC5 101 105 135 80 92 111 121
RP11-778D9.12 3 2 8 5 10 10 9
EIF2B5 578 514 800 556 629 917 818
DVL3 212 158 211 147 206 273 215
AP2M1 3907 3281 4838 3310 3416 5180 4345
ABCF3 500 348 516 389 417 620 542
ALG3 685 609 992 600 736 907 861
ECE2 271 279 391 211 258 373 449
PSMD2 2742 1490 3662 2250 1438 3609 2205
EIF4G1 1759 896 2497 1518 983 2795 1543
FAM131A 120 140 109 104 200 138 154
CLCN2 21 10 22 13 4 21 15
POLR2H 2981 5976 3256 2752 7720 4187 7807
MAGEF1 810 552 884 722 645 1235 744
VPS8 544 1025 836 709 1134 614 1328
EHHADH 52 21 51 52 28 113 47
MAP3K13 1157 578 1051 898 770 1443 1066
TMEM41A 514 515 516 420 732 668 863
SENP2 525 322 583 436 399 676 515
IGF2BP2 19 17 17 18 38 22 61
TRA2B 3840 2631 4958 3792 3939 4934 3351
TBCCD1 98 65 111 95 91 106 122
DNAJB11 1764 952 2226 1489 1015 1898 1221
RP11-573D15.8 23 12 29 28 23 24 21
RP11-573D15.9 15 25 34 20 31 31 30
EIF4A2 7195 10823 7514 7833 14327 7269 13973
RFC4 2293 1233 2842 1913 1071 2927 1900
RP11-573D15.2 9 6 20 15 11 16 20
ST6GAL1 493 379 620 488 572 623 611
RPL39L 1685 1088 2205 1468 1212 2678 1719
RTP4 678 144 678 661 137 1008 243
BCL6 190 119 213 175 147 306 382
LPP 773 406 882 811 570 989 913
TPRG1 547 582 581 653 179 978 850
IL1RAP 279 514 204 238 491 200 649
CCDC50 549 374 349 1045 1268 771 613
MB21D2 133 119 166 213 151 376 282
ATP13A4 10 16 16 7 17 20 27
OPA1 795 786 938 673 917 1049 1162
LINC00887 7 11 8 6 27 11 23
ATP13A3 262 254 308 259 388 319 397
LINC00884 26 8 27 24 16 30 32
TMEM44-AS1 25 25 55 25 25 60 17
TMEM44 122 38 187 133 25 295 68
LSG1 589 399 955 516 359 1057 640
FAM43A 69 92 150 100 172 372 161
XXYLT1 55 44 95 53 53 129 71
ACAP2 1350 1271 1554 1448 1739 2112 1605
PPP1R2 4629 8125 5390 5289 11078 7297 15659
AC069513.4 5 16 16 9 47 27 49
LINC00969 1108 1359 1361 998 1407 1824 2398
MUC20 15 10 19 4 2 17 21
TNK2 405 335 560 408 371 619 507
RP11-480A16.1 21 56 53 34 57 91 137
TFRC 1370 1276 1714 1252 1710 1826 1991
SLC51A 17 5 30 21 14 27 18
PCYT1A 693 500 862 620 605 922 670
TCTEX1D2 1570 916 1915 1310 880 2201 1494
TM4SF19-AS1 13 5 13 10 9 21 10
UBXN7 475 436 526 457 623 716 767
RNF168 1235 871 1522 1183 1039 1721 1449
WDR53 307 206 370 284 211 398 250
FBXO45 241 211 236 206 252 344 303
LINC01063 15 17 18 16 25 19 22
NRROS 185 136 343 259 206 252 138
PIGX 2080 1757 2666 1717 1396 2440 1940
CEP19 480 425 492 313 308 499 271
PAK2 3312 4537 3919 3362 6234 4674 5451
SENP5 659 446 743 529 586 876 684
NCBP2 1835 2046 2194 1779 3021 2412 3275
NCBP2-AS2 1348 1099 1564 1160 1467 1808 1749
MFI2-AS1 31 24 31 26 29 29 30
DLG1 453 419 512 464 533 538 628
BDH1 414 519 628 427 524 591 896
RUBCN 225 130 247 181 171 311 149
FYTTD1 642 397 805 626 733 789 431
LRCH3 472 374 495 389 377 605 562
IQCG 1297 417 341 660 447 852 518
RPL35A 60722 102762 67556 60008 154304 72941 133807
LMLN 52 46 55 39 54 82 77
ZNF595 47 44 36 30 72 48 113
ZNF718 105 49 122 58 28 96 56
ZNF141 240 347 200 223 504 276 471
ZNF721 658 965 569 692 1229 702 1314
PIGG 284 258 339 269 347 447 400
PDE6B 348 265 341 261 214 375 360
RP11-1191J2.5 95 72 59 33 47 44 47
ATP5I 5767 6155 8125 4837 6870 7477 7742
MYL5 353 319 415 344 423 456 412
PCGF3 218 249 213 211 388 245 384
RP11-440L14.4 18 25 13 19 33 19 27
RP11-440L14.1 131 143 126 133 149 179 178
CPLX1 40 19 38 24 39 25 39
GAK 495 342 646 470 463 680 662
TMEM175 145 71 178 132 87 208 120
DGKQ 39 14 41 39 26 76 40
SLC26A1 11 7 12 11 19 11 14
IDUA 47 33 57 45 42 66 56
FGFRL1 42 20 53 35 28 44 38
RNF212 73 61 37 57 58 33 46
SPON2 212 211 322 201 298 289 326
CTBP1-AS 12 26 20 7 33 22 47
CTBP1 749 704 1058 745 716 1145 900
CTBP1-AS2 283 170 311 224 169 277 230
MAEA 746 349 912 648 401 997 506
UVSSA 136 123 119 119 139 248 246
CRIPAK 21 21 30 21 25 62 74
RP11-1398P2.1 92 57 68 86 88 79 68
FAM53A 14 12 16 16 6 8 9
SLBP 5003 2637 6444 4256 2610 6458 4085
RP11-572O17.1 65 65 62 59 74 78 86
TMEM129 341 145 459 298 179 501 246
TACC3 1728 1290 2304 1581 1232 1965 1602
LETM1 632 321 953 547 283 1015 590
WHSC1 1594 1315 1878 1364 1314 1853 1806
NELFA 447 625 485 391 752 525 842
C4orf48 2344 1096 3335 1989 1082 3160 1747
POLN 73 24 95 72 30 116 45
HAUS3 611 408 674 507 493 876 606
MXD4 219 118 271 204 136 204 139
ZFYVE28 453 102 450 269 105 415 124
RNF4 830 847 997 829 1048 1333 1264
FAM193A 298 299 290 283 303 380 437
TNIP2 3080 2103 2815 2320 1879 3622 4005
SH3BP2 289 165 394 307 196 528 303
ADD1 1079 1055 1154 967 1333 1426 1561
MFSD10 3334 3356 3155 3022 4431 3927 4554
NOP14-AS1 239 200 214 213 227 353 329
NOP14 1236 1457 1449 1138 1504 1626 2129
GRK4 106 98 74 106 110 76 103
HTT 458 523 625 470 704 674 1075
RGS12 60 26 70 58 50 106 85
LRPAP1 1978 1097 2160 1525 1241 2068 1563
TMEM128 805 572 1173 867 789 1362 1115
LYAR 2127 1174 2928 1777 1173 3173 2147
ZBTB49 71 88 72 90 109 106 138
NSG1 2005 370 1185 896 466 676 361
STX18 771 430 909 659 551 1134 675
STX18-AS1 27 13 32 25 20 28 21
JAKMIP1 1899 377 1943 1432 563 1745 460
RP11-586D19.1 31 3 20 13 4 15 2
WFS1 33 22 37 33 17 46 25
MAN2B2 174 96 241 105 85 223 138
MRFAP1 2582 2906 2697 2294 3959 3065 4022
RP11-539L10.3 59 96 85 96 182 76 130
AC093323.3 159 134 226 129 172 221 205
RP11-539L10.2 24 9 25 41 4 14 8
S100P 348 13 240 279 10 190 13
MRFAP1L1 739 537 920 748 700 907 786
BLOC1S4 1065 1040 1259 955 1453 1297 1483
KIAA0232 451 312 533 434 475 613 486
TBC1D14 242 259 366 319 439 341 391
